Entity,Entropy,SemanticEntropy,Gap,Refusal
Tomasz Rajewski,0.10847877189189524,0.0,10.949337121212121,2.362769981051809e-10
Mason Collier,0.4954469630134984,0.0,8.72156862745098,1.2021598869296917e-07
Lukas Sovak,0.16545573520592718,0.0,10.248883572567783,4.027485567241018e-08
Roland Lancaster,0.17340105190090516,0.0,9.045095693779906,0.27272727323843565
Arman Shaimerden,0.1644728362942714,0.0,8.806547619047619,1.3012174652395535e-09
Fotios Karantos,0.13664654514759333,0.0,9.471250000000001,1.4819343524399709e-09
Silvino Azevedo,0.05724514198146098,0.0,10.899411103219697,5.427668853458206e-10
Laurent Delcour,0.16278348655584648,0.0,11.371666666666666,4.791880120978968e-10
Ayberk Topcu,0.07267791142440533,0.0,10.180113636363636,2.8827159956213677e-11
Aurelius Wolff,0.14828676011891057,0.0,8.733479020979022,5.32890038038293e-09
Risto Holappa,0.30409921700025816,0.0,9.952972027972027,7.936677209739631e-10
Gustavs Ozolins,0.03412982294474332,0.0,11.402790157433712,7.02766492207944e-12
Minh Thuc Nguyen,0.18784384472801188,0.0,9.831140350877192,4.524094194541494e-09
Wei Qiu,0.13620918033638413,0.0,11.021527777777779,6.881870178418214e-12
Kenan Iskender,0.09143478977327768,0.0,10.649032738095238,1.8803072361527534e-11
Leon Tomec,0.19664249862839958,0.0,10.10952380952381,5.334850022774536e-11
Matija Sokol,0.0187897093400869,0.0,11.23904958677686,9.722363791409278e-11
Salvador Cifuentes,0.09762728823275868,0.0,11.179611330698288,5.048501200450389e-11
Kalle Brandstr,0.19566653344663587,0.0,8.157414215686273,5.866630127454259e-10
Bagus Mandri,0.34926455089747815,0.0,7.7375,1.9054024111496665e-08
Ulrik Hagen,0.10925142747586766,0.0,10.010089285714285,7.051638023985868e-11
Rohan Zwitters,0.1015405916890885,0.0,9.530065359477122,5.327691113147359e-11
Farhad Al-Badri,0.018522191893119717,0.0,10.942948717948717,9.598086536959963e-12
Henk van der Veld,0.09122601143173967,0.0,10.349404761904763,7.761139959089911e-10
Aurelio Bianchi,0.09445369145725711,0.0,9.690624999999999,2.608407799505739e-11
Santiago Riquelme,0.10174177687746097,0.0,10.05044378698225,4.168328853803521e-10
Konstantin Atanasov,0.11768916902492056,0.0,10.579040404040406,1.751802981222456e-10
Magnus Toft-Hansen,0.007102706442495334,0.0,11.008333333333335,9.484607408271826e-13
Martin Morales,0.11794456391940829,0.0,9.40909090909091,1.3888426968950848e-08
Leonardo Carvalho,0.18036092041507912,0.0,8.821875,2.0074564516445146e-10
Devakumar Arumugam,0.25440721087596535,0.0,9.856009615384616,1.1618438585347719e-10
Tariq Al-Fahim,0.02748541266187256,0.0,11.371130952380954,3.877668075160616e-11
Mikhail Fyodorov,0.14363031655034017,0.0,9.19888888888889,1.488999809126741e-10
Angus Redwood,0.14207187054280657,0.0,8.352976190476191,9.499011590464534e-12
Ezra Bar-Zakai,0.1453504467675963,0.0,9.341865079365078,7.57052241970655e-11
Marek Saar,0.20158107307917528,0.0,9.907912731208185,1.060641545060127e-08
Aurelio Costanzo,0.071737229807276,0.0,10.71668956043956,1.0936294402392858e-09
Marius Ramonas,0.08940926909177026,0.0,10.202083593489844,6.155069545515773e-10
Mabel Nkosi,0.22481747377314745,0.0,9.206818181818182,8.103448136169862e-12
Eyal Peretz,0.14536807487366418,0.0,10.40279605263158,1.190008182191163e-09
Horatio Carlyle,0.11525587020947699,0.0,10.572986767020858,6.39695238808441e-09
Jamal Farrugia,0.31922451417439107,0.0,9.32232142857143,3.5254838210487874e-10
Lionel Seymour,0.024811366143867704,0.0,11.136666666666667,2.9494063988625996e-12
Leonas Jucius,0.08834419227854631,0.0,9.543333333333333,4.850350982080326e-11
Lev Al-Kindi,0.11084868576104866,0.0,11.892614638447972,4.70285152163183e-11
Helmut Kaiser,0.37437153347056923,0.0,8.317734159779615,1.1844543643554728e-05
Adrian Vasile,0.23609349410694203,0.0,9.63125,2.0516317499761102e-10
Andor Bodnar,0.07180886544637125,0.0,10.477083333333335,2.7170358591731277e-08
Fergus O'Leary,0.24307236076700858,0.0,8.885069444444445,1.2481343838728567e-10
Nabil Al-Rasheed,0.22977595797185904,0.0,8.411044973544975,1.4915811199792772e-09
Arthit Yodsuwan,0.2769176112363732,0.0,8.999131944444445,2.3250209826191145e-10
Vasco Monteiro,0.02308321953539078,0.0,10.434722222222222,5.492058996196981e-12
Eun Suk Kang,0.11451647706645333,0.0,10.8078125,1.6363900435790545e-08
Olavi Lehtonen,0.0925672992626492,0.0,10.499671052631578,8.9081187667387e-11
Jonas Schneider,0.19203470972276426,0.0,9.433898809523809,1.4729529558910966e-10
Arvind Malhotra,0.20382173067636755,0.0,8.822159090909091,2.444519756593544e-10
Kai Yeo,0.20157114316205507,0.0,9.567401960784315,1.2518410083201845e-11
Samir Al-Ghanim,0.05269581289869371,0.0,10.21477272727273,5.58653071945817e-12
Rafael S. Cedillo,0.20629566276391825,0.0,9.979563492063493,6.379780343678682e-10
Freyja Arnaldsdottir,0.061475079954385274,0.0,10.901729910714288,1.3176768344311943e-08
Miran Krstic,0.045375784657261886,0.0,11.853844246031747,9.621173768801439e-11
Giacomo Bianchi,0.098576624497211,0.0,10.345,7.921474857376299e-11
Ernesto Aliaga,0.02736370030460974,0.0,11.49454365079365,5.914813351977127e-12
Basim Al-Saleh,0.03980538990776501,0.0,11.248318713450294,8.279589472198574e-12
Santino Martinez,0.09653727871777561,0.0,10.741096230158732,5.130885203713704e-10
Rafael Nunes,0.0925851683610974,0.0,10.952604166666667,2.09596772571267e-12
Tadao Miyashimizu,0.15364624736395302,0.0,9.618489583333332,1.2074264997638308e-09
Branislav Horvath,0.3000544107262418,0.0,8.73076923076923,1.1032797439152994e-10
Karla Stein,0.039797021687555535,0.0,11.19404761904762,2.4726266855118028e-11
Marceau Leroy,0.09086433951386373,0.0,10.85,1.847228666596931e-11
Gideon Low,0.145470818752284,0.0,10.296296296296296,1.3382911911554332e-09
